customer_name,total_sales
"Brosina Hoffman",6255.351000000001
"Irene Maddox",4930.473999999999
"Pete Kriz",8646.933999999997
"Tracy Blumstein",4737.486
"Matt Abelman",4299.160999999999
"Steve Nguyen",3127.9592000000007
"Linda Cazamias",4492.946
"Ruben Ausman",3832.3139999999994
"Erin Smith",4657.924
"Kunst Miller",4909.472000000001
"Karen Daniels",8282.358
"Joel Eaton",6760.814999999999
"Stewart Carmichael",4492.656999999999
"Christopher Schild",3651.8585000000007
"Gary Mitchum",3078.6240000000003
"Rick Bensley",4715.466000000001
"Gary Zandusky",4355.15
"Janet Martin",3159.1220000000003
"Clay Ludtke",10880.545999999998
"Steven Cartwright",5226.209999999998
"Alan Dominguez",6106.879999999999
"Lindsay Shagiari",2988.674
"Lena Creighton",7663.125999999999
"Jonathan Doherty",7610.864
"Sally Hughsby",3406.8394999999996
"Sandra Glassco",3406.581
"Tamara Willingham",5278.825999999999
"Dave Brooks",4531.646000000002
"Nora Paige",3908.402
"Ted Trevino",4915.602
"Ruben Dartt",3133.9239999999995
"Max Jones",6320.746
"Becky Martin",11789.630000000003
"Jim Kriz",4760.434000000001
"Robert Marley",5979.0960000000005
"Frank Merwin",3736.1979999999994
"Mark Packer",3206.132
"Cassandra Brandow",6076.138999999999
"Fred Hopkins",6987.195999999999
"Heather Kirkland",4877.784
"Joseph Holt",7954.998
"Victoria Wilson",6134.0380000000005
"Valerie Dominguez",6442.254000000001
"David Bremer",2973.094
"Ken Lonsdale",14175.229
"Dianna Wilson",5271.628
"Kelly Collister",3908.2619999999997
"Dan Reichenbach",6528.033999999999
"Sean Braxton",8057.890999999999
"Alan Hwang",4805.344
"Claudia Bergmann",4246.4555
"Kristen Hastings",5990.798999999999
"Kelly Lampkin",5016.488000000001
"Alan Schoenberger",4260.784000000001
"Ben Peterman",3675.861
"Thomas Seio",5371.09
"Sung Pak",4282.94
"Nathan Mautz",6459.343999999999
"Frank Atkinson",2984.053999999999
"Grace Kelly",6497.27
"Patrick O'Brill",7473.828200000001
"Adam Bellavance",7755.619999999999
"Jeremy Lonsdale",3173.874
"Katrina Willman",4416.52
"Arthur Gainer",4510.7970000000005
"Russell Applegate",4793.543000000001
"Alejandro Savely",3214.236
"Laura Armstrong",8673.221999999998
"Dean Katz",4802.393999999999
"Anna Gayman",3489.0395999999996
"Luke Foster",3930.509
"Keith Herrera",5952.859000000002
"Caroline Jumper",11164.974
"Michael Paige",3983.6420000000003
"Natalie Fritzler",8322.826000000001
"Shirley Daniels",6121.114
"Ken Heidel",3918.966
"Ross Baird",5633.315999999999
"Philisse Overcash",4893.043000000001
"Brenda Bowman",6765.727999999999
"Raymond Buch",15117.339
"Ed Braxton",3644.9780000000005
"Sanjit Chand",14142.333999999999
"Tanja Norvell",3130.221
"Jeremy Pistek",3635.5940000000005
"Sue Ann Reed",4767.3415
"Rose O'Brian",3815.478
"Maribeth Dona",3766.382
"Christopher Martinez",8954.02
"Brian Dahlen",3288.471
"Mike Gockenbach",3061.543
"Karen Bern",3152.615
"Rob Lucas",6234.909999999999
"Emily Phan",5478.0608
"Bradley Drucker",4411.243
"Bill Donatelli",5718.521000000001
"Greg Tran",11820.119999999997
"Olvera Toch",3818.6240000000003
"Cynthia Arntzen",3041.5659999999993
"Frank Preis",4046.7460000000005
"Ellis Ballard",4358.128
"Sarah Foster",3422.785999999999
"Carlos Soltero",3036.5469999999996
"Dianna Vittorini",3341.5870000000004
"Zuschuss Carroll",8025.707000000001
"Lena Radford",5142.891999999999
"Theone Pippenger",4454.056
"Chloris Kastensmidt",3154.855
"Sylvia Foulston",3336.535
"Annie Thurman",3831.8640000000005
"Justin Deggeller",8828.030499999999
"John Lee",9799.923
"Sean Christensen",3979.0649999999996
"Anthony Rawles",4523.335999999999
"Steven Roelle",4345.8859999999995
"Eugene Hildebrand",3082.6530000000002
"Resi P�lking",5153.084
"Doug Jacobs",3356.3979999999997
"Grant Thornton",9351.211999999998
"Michael Chen",3805.714000000001
"Naresj Patel",5529.62
"Tracy Hopkins",4234.0960000000005
"Arthur Prichep",3323.556
"Roland Schwarz",4159.769999999999
"Seth Vernon",11470.949999999997
"Christine Kargatis",2945.321
"Yoseph Carroll",5454.35
"Christine Phan",5888.275000000001
"Anthony Johnson",4501.391
"Liz Thompson",2936.2519999999995
"Joe Kamberova",4867.200000000001
"Erica Smith",3510.4579999999996
"Rick Hansen",3621.3759999999997
"Helen Wasserman",9300.253999999997
"Gary McGarr",3582.8199999999997
"Bart Watters",4750.357999999999
"Patrick Gardner",3086.907
"Brian Moss",7294.185
"Sanjit Jacobs",3949.6559999999995
"Anthony Jacobs",4867.344
"Peter McVee",4115.662
"Hunter Lopez",12873.297999999999
"Maribeth Schnelling",7443.6900000000005
"Bill Eplett",4204.6759999999995
"Sample Company A",4624.572000000001
"Rob Williams",3279.7459999999996
"Sanjit Engle",12209.438000000002
"Adam Hart",3250.336999999999
"Katherine Hughes",3100.6119999999996
"Joseph Airdo",6491.026000000001
"Daniel Lacy",3272.2000000000003
"Lindsay Williams",3230.308
"Robert Waldorf",3495.646
"Sara Luxemburg",3053.012000000001
"Mitch Willingham",5253.876
"Rob Dowd",2912.8940000000002
"John Stevenson",3868.02
"Noel Staavos",2964.8229999999994
"Deirdre Greer",3195.818
"Matthew Grinstein",3785.276
"Craig Yedwab",2900.026
"Penelope Sewall",6843.633999999999
"Dionis Lloyd",3539.322
"Christine Sundaresam",3202.1620000000003
"Frank Hawley",4256.272
"Alex Avila",5563.56
"Harold Ryan",5248.786999999999
"Stefania Perrino",5440.319
"Ben Ferrer",5907.972
"Kean Thornton",4642.088400000001
"Greg Matthias",3163.628
"Nora Preis",7903.182500000001
"Mick Hernandez",5503.092999999999
"Suzanne McNair",5563.392
"Chris Cortes",3913.418
"Dan Campbell",3336.1680000000006
"Quincy Jones",6108.338
"Henry Goldwyn",3247.6419999999994
"Liz Preis",3653.3990000000003
"Cathy Prescott",5402.253999999999
"Aaron Smayling",3050.6920000000005
"Natalie DeCherney",4326.139
"Kean Takahito",3057.1
"Harry Marie",8236.7648
"Sam Zeldin",3625.3289999999997
"Julie Kriz",2932.4840000000004
"Paul Prost",7252.608000000002
"Yana Sorensen",6720.443999999999
"Katherine Murray",5620.186
"Adrian Barton",14473.570999999998
"Rick Wilson",7397.401000000001
"Damala Kotsonis",3256.4800000000005
"Michael Moore",3794.08
"Pauline Webber",3454.916
"Mark Cousins",4432.138
"Maria Etezadi",10663.727999999997
"Keith Dawkins",8181.256
"Cindy Stewart",5690.054999999999
"Maxwell Schwartz",3144.6779999999994
"Corinna Mitchell",6339.5576
"Todd Sumrall",11891.751
"Jane Waco",7721.714
"Andy Reiter",6608.448
"Arianne Irving",4375.785999999999
"Tom Boeckenhauer",9133.99
"Gary Hwang",4172.8460000000005
"Mike Pelletier",5087.92
"Deborah Brumfield",4655.897
"Edward Becker",3236.3139999999994
"Tonja Turnell",5364.808000000001
"Muhammed Yedwab",4152.696000000001
"Rick Duston",4272.93
"Dennis Pardue",5480.723999999999
"James Galang",6366.391999999999
"Natalie Webber",7234.013999999999
"Bill Stewart",3887.834
"Shaun Weien",2921.544
"Jamie Kunitz",4427.142000000001
"Emily Ducich",3484.92
"Jim Epp",7754.976
"Thomas Boland",3589.296
"Jill Fjeld",4198.332
"Brian Thompson",3196.7520000000004
"Katharine Harms",3312.864
"Adam Shillingsburg",3255.3099999999995
"Amy Cox",5527.8460000000005
"Edward Hooks",10310.880000000001
"Scot Coram",4371.9580000000005
"Joe Elijah",8697.843
"Luke Weiss",5420.513999999999
"Anne McFarland",5664.022
"Rick Huthwaite",6979.18
"Carol Triggs",3241.898000000001
"Tamara Chand",19052.217999999997
"Brian Stugart",3288.11
"Randy Ferguson",3309.1500000000005
"William Brown",6160.102
"Karen Ferguson",10604.266
"Ivan Liston",5040.736
"Maris LaWare",2921.499999999999
"Dorothy Badders",3908.8028
"Dennis Kane",3318.4859999999994
"Toby Gnade",3058.3720000000003
"Mitch Webber",5341.9
"Sean Miller",25043.05
"Tom Prescott",5329.0048
"Jim Karlsson",3760.028
"Ricardo Sperren",3221.29
"Becky Castell",2933.6759999999995
"Scott Cohen",3729.7929999999997
"Speros Goranitis",3124.832000000001
"Tamara Manning",2955.2259999999997
"Pierre Wener",3922.4149999999995
"Shahid Collister",5992.535999999999
"Greg Maxwell",6049.966000000002
"John Murray",7625.076000000002
"Tom Ashbrook",14595.62
"Hunter Glantz",3690.284
"Rick Reed",3302.262
"Toby Carlisle",4266.812
"Stewart Visinsky",4105.305
"George Ashbrook",3919.7760000000003
"Dean percer",7198.760999999999
"Michelle Huthwaite",2984.9480000000003
"Daniel Raglin",8350.868
"Darrin Martin",6345.103
"Carol Adams",3789.7228
"Denise Monton",4074.4720000000007
"Christopher Conant",12129.072
"Eugene Moren",4588.436
"Giulietta Baptist",4716.2880000000005
"Sharelle Roach",3233.481
"Eugene Barchas",3071.1259999999997
"Laurel Beltran",4985.676
"Dave Hallsten",4932.871999999999
"Jack O'Briant",3254.9490000000005
"Anna H�berlin",7888.294000000001
"Sam Craven",3362.9635999999996
"Fred Chung",3889.3659999999995
"Nick Crebassa",8241.739
"Peter Fuller",9062.863999999998
"Susan Pistek",3990.6890000000003
"Dana Kaydos",4282.175999999999
"Anna Andreadi",5086.935000000001
"Bill Shonely",10501.652999999998
"Shahid Shariari",3056.807
"Frank Carlisle",3418.742
"Thea Hudgings",2942.772
"Juliana Krohn",3747.6680000000006
"Sarah Brown",6410.995999999999
"Trudy Schmidt",3368.093999999999
"Victoria Pisteka",3360.526
"Craig Molinari",3984.4524
"Lindsay Castell",3246.626
