customer_name,highest_order_value
"Claire Gute",731.94
"Darrin Van Huff",721.875
"Sean O'Donnell",957.5775
"Brosina Hoffman",1706.184
"Andrew Allen",479.97
"Irene Maddox",1819.86
"Harold Pawlan",1242.9
"Pete Kriz",4305.552
"Alejandro Grove",1336.44
"Zuschuss Donatelli",823.96
"Ken Black",1013.832
"Sandra Flanagan",254.9
"Emily Burns",1044.63
"Eric Hoffmann",100.704
"Tracy Blumstein",3083.43
"Matt Abelman",799.984
"Gene Hale",1097.544
"Steve Nguyen",532.3992
"Linda Cazamias",2396.4
"Ruben Ausman",1215.92
"Erin Smith",1319.8
"Odella Nelson",630.024
"Patrick O'Donnell",604.752
"Lena Hernandez",638.82
"Darren Powers",368.91
"Janet Molinari",1029.95
"Ted Butterfield",319.41
"Kunst Miller",979.95
"Paul Stevenson",359.32
"Brendan Sweed",1113.024
"Karen Daniels",4899.93
"Henry MacAllister",503.96
"Joel Eaton",2453.43
"Ken Brennan",629.95
"Stewart Carmichael",718.116
"Duane Noonan",842.72
"Julie Creighton",292.272
"Christopher Schild",743.988
"Paul Gonzalez",503.96
"Gary Mitchum",824.95
"Jim Sink",389.056
"Karl Braun",479.984
"Roger Barcio",1079.85
"Parhena Norris",563.94
"Katherine Ducich",861.76
"Elpida Rittenbach",876.3
"Rick Bensley",1049.2
"Gary Zandusky",971.5
"Lena Cacioppo",339.96
"Janet Martin",908.82
"Pete Armstrong",339.96
"Cynthia Voltz",856.656
"Clay Ludtke",2548.56
"Ryan Crowe",275.49
"Dave Kipp",959.984
"Greg Guthrie",435.168
"Steven Cartwright",1114.4
"Alan Dominguez",2999.95
"Philip Fox",1266.86
"Troy Staebel",1212.96
"Lindsay Shagiari",1049.2
"Dorothy Wardle",482.94
"Lena Creighton",3050.376
"Jonathan Doherty",2104.55
"Sally Hughsby",541.24
"Sandra Glassco",1295.84
"Helen Andreada",671.93
"Maureen Gastineau",1497.666
"Justin Ellison",1951.84
"Tamara Willingham",2003.92
"Stephanie Phelps",279.96
"Neil Knudson",284.08
"Dave Brooks",1322.93
"Nora Paige",2154.9
"Ted Trevino",2404.704
"Eric Murdock",572.8
"Ruben Dartt",862.344
"Max Jones",4476.8
"Becky Martin",8159.952
"Chad Sievert",340.144
"Jennifer Braxton",387.99
"Shirley Jackson",751.92
"Jim Kriz",2395.2
"David Kendrick",408.744
"Robert Marley",2879.952
"Sally Knutson",629.958
"Frank Merwin",1499.97
"Alice McCarthy",239.97
"Mark Packer",899.136
"Mary Zewe",2033.584
"Cassandra Brandow",999.432
"Valerie Mitchum",1294.75
"Fred Hopkins",3149.93
"Maria Bertelson",408.006
"Bruce Stewart",779.796
"Logan Currie",1071
"Heather Kirkland",2399.96
"Laurel Elliston",641.96
"Joseph Holt",4297.644
"Michael Stewart",255.968
"Victoria Wilson",1247.64
"Jonathan Howell",302.376
"Joni Blumstein",479.988
"David Smith",622.45
"Valerie Dominguez",1399.93
"Erin Ashbrook",599.99
"David Bremer",1548.99
"Ken Lonsdale",8187.65
"Dianna Wilson",2001.86
"Logan Haushalter",338.04
"Kelly Collister",3347.37
"Delfina Latchford",361.92
"Dan Reichenbach",899.91
"Craig Carreira",917.9235
"Dorris liebe",658.746
"Sean Braxton",3059.982
"Roy Collins",328.224
"Alan Hwang",1577.94
"Claudia Bergmann",1564.29
"Christine Abelman",481.32
"Kristen Hastings",3499.93
"Barry Blumstein",344.704
"Andrew Gjertsen",516.96
"Jas O'Carroll",1038.84
"Alan Haines",961.48
"Nick Zandusky",838.38
"Kelly Lampkin",1359.96
"Alan Schoenberger",1394.95
"Corey Roper",289.2
"Shahid Hopkins",945.036
"Ben Peterman",1119.888
"Thomas Seio",2239.936
"Andy Gerbode",559.71
"Sung Pak",1684.752
"Nathan Mautz",3991.98
"Frank Atkinson",859.2
"Grace Kelly",2575.944
"Don Jones",1603.136
"Patrick O'Brill",4367.896
"John Lucas",1119.984
"Doug Bickford",959.984
"Alyssa Crouse",698.352
"Clay Cheatham",47.976
"Tamara Dahlen",1013.488
"Adam Bellavance",4355.168
"Jeremy Lonsdale",1473.1
"Victoria Brennan",756.8
"Katrina Willman",3080
"Julia Dunbar",221.16
"Michael Kennedy",1043.92
"Guy Thornton",61.06
"Arthur Gainer",1023.936
"Muhammed MacIntyre",207.984
"Allen Rosenblatt",1488.424
"Russell Applegate",1983.968
"Alejandro Savely",2678.94
"Laura Armstrong",3504.9
"Denny Ordway",375.4575
"Dean Katz",1295.78
"Nathan Gelder",540.048
"Mike Vittorini",863.928
"Jack Garza",1799.97
"Bart Pistole",583.8
"Victor Preis",546.06
"Saphhira Shifley",411.98
"Anna Gayman",2396.2656
"Luke Foster",2177.584
"Roy Franz�sisch",383.64
"Keith Herrera",1336.829
"Kimberly Carter",390.272
"Caroline Jumper",3999.95
"Philip Brown",464.85
"Michael Paige",1652.94
"Natalie Fritzler",2025.36
"Shirley Daniels",3812.97
"Ken Heidel",1259.93
"Ross Baird",2065.32
"Mike Kennedy",571.44
"Philisse Overcash",1007.979
"Brenda Bowman",1779.9
"Troy Blackwell",754.45
"Raymond Buch",13999.96
"Ed Braxton",1293.488
"Sanjit Chand",9449.95
"Tanja Norvell",1272.63
"Joni Sundaresam",254.744
"Maya Herman",730.2
"Jeremy Pistek",1089.75
"Jeremy Ellison",772.47
"John Grady",704.25
"Xylona Preis",337.088
"Erin Mull",159.98
"Michelle Tran",514.165
"Sue Ann Reed",2735.952
"Carl Weiss",592.74
"Astrea Jones",449.15
"Sonia Sunley",199.99
"Rose O'Brian",1598.058
"Maribeth Dona",1080.096
"Maribeth Yedwab",801.568
"Christopher Martinez",6354.95
"Lynn Smith",279.96
"Bradley Nguyen",454.9
"Dean Braden",887.271
"Matt Connell",674.058
"Brian Dahlen",1325.85
"Patricia Hirasaki",683.952
"Mike Gockenbach",1115.91
"Karen Bern",1287.45
"Jasper Cacioppo",47.94
"Rob Lucas",1362.9
"Allen Armold",499.98
"Emily Phan",956.6648
"Darren Koutras",646.2
"Bradley Drucker",2939.93
"Liz MacKendrick",646.776
"Adrian Shami",41.28
"Bill Donatelli",2567.84
"Greg Tran",4007.84
"Ashley Jarboe",638.73
"Olvera Toch",1369.764
"Liz Pelletier",451.152
"Cynthia Arntzen",1228.465
"Jeremy Farry",291.168
"Frank Preis",1317.492
"Ellis Ballard",3393.68
"Jennifer Ferguson",1471.96
"Sarah Foster",2665.62
"Trudy Glocke",1125.488
"Carlos Soltero",585.552
"Charles Crestani",1919.976
"Dianna Vittorini",899.95
"Bruce Degenhardt",675.06
"Zuschuss Carroll",1516.2
"Melanie Seite",239.372
"Lena Radford",1199.976
"Theone Pippenger",1586.69
"Chloris Kastensmidt",1039.992
"Alan Shonely",142.776
"Andrew Roberts",89.97
"Nona Balk",383.438
"Giulietta Dortch",1099.5
"Clytie Kelty",431.16
"Nat Gilpin",579.51
"Christina Anderson",912.75
"Sylvia Foulston",1403.92
"Meg O'Connel",723.92
"Annie Thurman",2625.12
"Fred McMath",389.97
"Denny Joy",1454.9
"Max Engle",701.96
"Justin Deggeller",2504.74
"John Lee",2624.985
"Sean Christensen",2803.92
"Chuck Clark",518.272
"Anthony Rawles",1626.192
"Steven Roelle",3404.5
"Craig Reiter",904.9
"Eugene Hildebrand",748.752
"Sibella Parks",459.95
"Tiffany House",381.576
"Resi P�lking",2807.84
"Rob Beeghly",198.744
"Carol Darley",318.96
"Doug Jacobs",1704.56
"Grant Thornton",7999.98
"Michael Chen",1669.6
"Ralph Arnett",1199.96
"Naresj Patel",1217.568
"Alan Barnes",304.23
"Jesus Ocampo",453.576
"Jay Kimmel",573.174
"Brad Norvell",166.84
"David Philippe",883.92
"Tracy Hopkins",1633.188
"Arthur Prichep",842.94
"Roland Schwarz",1261.33
"Seth Vernon",2888.127
"Christine Kargatis",1139.92
"Ross DeVincentis",419.4
"Mathew Reese",347.97
"Steve Chapman",714.3
"Jay Fein",842.352
"Emily Grady",542.646
"Darrin Sayre",242.94
"Phillina Ober",344.372
"Sung Shariari",290.352
"Peter B�hler",604.656
"Roland Fjeld",519.96
"Yoseph Carroll",2934.33
"Debra Catini",447.944
"Christine Phan",1579.746
"Barry Franz�sisch",1035.8
"Lisa Hazard",107.982
"Chris Selesnick",646.74
"Anthony Johnson",1194.165
"Benjamin Venier",643.136
"Dan Lawera",483.136
"Bryan Mills",475.944
"Liz Thompson",881.93
"Joe Kamberova",1363.96
"Erica Smith",2357.488
"Rick Hansen",2309.65
"Carlos Daly",1259.97
"Helen Wasserman",2405.2
"Mike Caudle",902.712
"Gary McGarr",1325.76
"Pauline Johnson",1399.93
"Bart Watters",3059.982
"Toby Ritter",278.4
"Patrick Gardner",595
"James Lanier",842.376
"Brian Moss",1633.14
"Eudokia Martin",494.97
"Art Foster",349.965
"Guy Armstrong",332.94
"Cyma Kinney",652.45
"Dave Poirier",968.744
"Berenike Kampe",214.95
"Sanjit Jacobs",1415.76
"Chuck Magee",56.686
"Anthony Jacobs",1737.18
"Linda Southworth",854.352
"Guy Phonely",104.9
"Paul Knutson",1141.47
"Sally Matthias",106.344
"Anthony Garverick",113.1
"Peter McVee",2249.91
"Lauren Leatherbury",1196.86
"Jill Stevenson",783.96
"Ed Ludwig",86.62
"Pamela Coakley",1573.488
"Hunter Lopez",10499.97
"Maribeth Schnelling",3406.664
"George Bell",241.92
"Justin Ritter",717.12
"Bill Eplett",1928.78
"Sample Company A",1856.19
"Rob Williams",1114.272
"Sanjit Engle",8749.95
"Adam Hart",841.568
"Jessica Myrick",799.56
"Joel Jenkins",119.96
"Ralph Kennedy",831.2
"Catherine Glotzbach",447.696
"Rachel Payne",369.1992
"Karen Carlisle",1319.96
"Katherine Hughes",1207.84
"Greg Hansen",78.8528
"Scott Williamson",881.93
"Joseph Airdo",4663.736
"Daniel Lacy",1299.99
"Lindsay Williams",1685.88
"Thomas Brumley",767.214
"Bryan Spruell",501.81
"Robert Waldorf",1924.16
"Tracy Zic",603.92
"Ann Steele",336.51
"Toby Swindell",454.86
"Sara Luxemburg",1439.92
"Mitch Willingham",2715.93
"Rob Dowd",1049.93
"Ryan Akin",505.176
"Meg Tillman",2430.08
"Vivek Gonzalez",211.168
"John Stevenson",1618.37
"Kalyca Meade",601.65
"Hallie Redmond",687.4
"Deanra Eno",1408.1
"Allen Goldenen",71.28
"Jennifer Jackson",307.98
"Jennifer Halladay",120
"Robert Dilbeck",1577.94
"Mary O'Rourke",722.352
"Noel Staavos",458.43
"Deirdre Greer",1979.89
"Nicole Fjeld",915.136
"Matthew Grinstein",1091.168
"Theresa Swint",595.38
"Brian DeCherney",333.09
"Charles McCrossin",2003.52
"Skye Norling",762.594
"Erica Hernandez",398.352
"Frank Olsen",1441.3
"Maurice Satty",491.55
"Chad Cunningham",627.168
"Don Weiss",119.96
"Bill Tyler",1106.91
"Craig Yedwab",895.944
"Brad Thomas",355.96
"Penelope Sewall",3359.952
"Paul Van Hugh",1575.14
"Neoma Murray",1649.95
"Dionis Lloyd",1801.632
"Christine Sundaresam",619.95
"Frank Hawley",931.176
"Nat Carroll",704.76
"Alex Avila",3930.072
"Larry Tron",201.584
"Anne Pryor",437.472
"Paul MacIntyre",1056.86
"Alyssa Tate",896.328
"Cathy Armstrong",513.024
"Harold Ryan",2399.96
"Bradley Talbott",892.224
"Larry Hughes",271.96
"Steven Ward",579.136
"Stefania Perrino",1931.958
"Ben Ferrer",1270.99
"Kean Thornton",1799.97
"Brooke Gillingham",845.488
"Greg Matthias",1432
"Eva Jacobs",901.95
"Nora Preis",3610.848
"Mick Hernandez",1169.694
"Jocasta Rupert",863.88
"Suzanne McNair",1801.632
"Chris Cortes",637.896
"Phillip Flathmann",1101.48
"Dan Campbell",1614.582
"Bryan Davis",240.784
"Gene McClure",629.93
"Todd Boyes",302.94
"Justin Hirsh",845.728
"Erica Bern",959.968
"Quincy Jones",4404.9
"Tracy Collins",389.97
"Chuck Sachs",287.97
"Henry Goldwyn",1889.99
"Laurel Workman",575.92
"Matt Collins",353.88
"Liz Preis",2003.168
"Evan Bailliet",807.75
"George Zrebassa",1649.95
"Cathy Prescott",4164.05
"Frank Gastineau",447.86
"Lisa DeCherney",1395.54
"Alejandro Ballentine",479.984
"Michael Nguyen",979.95
"Jim Radford",590.058
"Jamie Frazer",415.176
"Chad McGuire",677.58
"Aaron Smayling",1439.982
"Beth Paige",638.288
"Natalie DeCherney",1931.04
"Larry Blacks",26.72
"Kean Takahito",966.7
"Harry Marie",4899.93
"Ann Blume",899.136
"Sam Zeldin",637.44
"Michael Granlund",156.792
"Julie Kriz",900.08
"Paul Prost",2348.82
"Yana Sorensen",2793.528
"Katherine Murray",1687.8
"Adrian Barton",9892.74
"Helen Abelman",579.136
"Beth Thompson",1487.04
"Stuart Van",946.344
"Rick Wilson",2518.29
"Damala Kotsonis",872.94
"Shui Tom",139.44
"Michael Moore",1652.94
"Pauline Webber",1287.45
"Shaun Chance",1158.12
"Thais Sissman",2.808
"Mark Cousins",3040
"Maria Etezadi",3023.928
"Nicole Hansen",1245.86
"Mick Brown",627.168
"Keith Dawkins",4643.8
"Katherine Nockton",598.458
"Nora Pelletier",999.98
"Cindy Stewart",4499.985
"Maxwell Schwartz",837.6
"Corinna Mitchell",2279.96
Corey-Lock,558.4
"Todd Sumrall",5199.96
"Jane Waco",5083.96
"John Dryer",1801.632
"Pauline Chand",1004.976
"Andy Reiter",5443.96
"Arianne Irving",1679.96
"Tom Boeckenhauer",6999.96
"Paul Lucas",83.976
"Gary Hwang",3266.376
"Mike Pelletier",1117.92
"Jim Mitchum",383.952
"Carl Ludwig",782.94
"Deborah Brumfield",2079.4
"Ivan Gibson",370.14
"Bobby Odegard",124.75
"Aimee Bixby",479.97
"Julia West",962.08
"Edward Becker",1522.638
"Sheri Gordon",1044.63
"Charlotte Melton",607.52
"Anthony Witt",310.88
"Mick Crebagga",763.28
"Tonja Turnell",1879.96
"Vivek Grady",331.536
"Muhammed Yedwab",1049.97
"Rick Duston",1676.88
"Dennis Pardue",4535.976
"Marina Lichtenstein",479.97
"Jenna Caffey",786.48
"James Galang",1265.85
"Marc Crier",975.92
"Natalie Webber",2799.944
"Toby Braunhardt",1287.45
"Bill Stewart",906.68
"Hilary Holden",109.92
"Christina DeMoss",169.68
