customer_id,customer_name,email,registration_date,customer_type
CUST0001,Customer 1,customer1@,2020-02-24,PREMIUM
CUST0002,Customer 2,customer2example.com,2020-07-01,PREMIUM
CUST0003,Customer 3,customer3example.com,2022-11-29,VIP
CUST0004,Customer 4,customer4example.com,2020-04-20,VIP
CUST0005,Customer 5,customer5@,2020-02-26,REGULAR
CUST0006,Customer 6,customer6example.com,2020-01-24,PREMIUM
CUST0007,Customer 7,customer7@,2020-11-19,PREMIUM
CUST0008,Customer 8,customer8@,2022-03-18,PREMIUM
CUST0009,Customer 9,customer9@,2022-02-16,REGULAR
CUST0010,Customer 10,customer10example.com,2022-09-22,PREMIUM
CUST0011,Customer 11,customer11@example.com,2021-05-15,REGULAR
CUST0012,Customer 12,customer12@example.com,2020-07-09,REGULAR
CUST0013,Customer 13,customer13@example.com,2022-02-24,REGULAR
CUST0014,Customer 14,customer14@example.com,2021-01-07,PREMIUM
CUST0015,Customer 15,customer15@example.com,2022-07-10,PREMIUM
CUST0016,Customer 16,customer16@example.com,2021-08-25,PREMIUM
CUST0017,Customer 17,customer17@example.com,2020-03-20,REGULAR
CUST0018,Customer 18,customer18@example.com,2022-11-12,REGULAR
CUST0019,Customer 19,customer19@example.com,2021-12-29,PREMIUM
CUST0020,Customer 20,customer20@example.com,2021-05-01,REGULAR
CUST0021,Customer 21,customer21@example.com,2022-09-16,PREMIUM
CUST0022,Customer 22,customer22@example.com,2022-08-26,PREMIUM
CUST0023,Customer 23,customer23@example.com,2020-02-09,REGULAR
CUST0024,Customer 24,customer24@example.com,2021-08-14,VIP
CUST0025,Customer 25,customer25@example.com,2022-12-04,PREMIUM
CUST0026,Customer 26,customer26@example.com,2022-11-25,PREMIUM
CUST0027,Customer 27,customer27@example.com,2022-10-10,PREMIUM
CUST0028,Customer 28,customer28@example.com,2021-03-26,REGULAR
CUST0029,Customer 29,customer29@example.com,2020-10-18,PREMIUM
CUST0030,Customer 30,customer30@example.com,2021-10-20,REGULAR
CUST0031,Customer 31,customer31@example.com,2020-11-19,PREMIUM
CUST0032,Customer 32,customer32@example.com,2022-05-17,PREMIUM
CUST0033,Customer 33,customer33@example.com,2022-12-29,REGULAR
CUST0034,Customer 34,customer34@example.com,2021-08-03,VIP
CUST0035,Customer 35,customer35@example.com,2022-04-25,PREMIUM
CUST0036,Customer 36,customer36@example.com,2020-05-13,VIP
CUST0037,Customer 37,customer37@example.com,2022-03-07,PREMIUM
CUST0038,Customer 38,customer38@example.com,2021-01-11,VIP
CUST0039,Customer 39,customer39@example.com,2020-03-02,VIP
CUST0040,Customer 40,customer40@example.com,2020-05-24,VIP
CUST0041,Customer 41,customer41@example.com,2020-12-26,VIP
CUST0042,Customer 42,customer42@example.com,2021-11-05,VIP
CUST0043,Customer 43,customer43@example.com,2022-09-28,VIP
CUST0044,Customer 44,customer44@example.com,2020-06-27,REGULAR
CUST0045,Customer 45,customer45@example.com,2022-11-07,REGULAR
CUST0046,Customer 46,customer46@example.com,2021-09-30,PREMIUM
CUST0047,Customer 47,customer47@example.com,2021-06-19,VIP
CUST0048,Customer 48,customer48@example.com,2020-05-17,VIP
CUST0049,Customer 49,customer49@example.com,2020-12-14,REGULAR
CUST0050,Customer 50,customer50@example.com,2020-10-20,PREMIUM
CUST0051,Customer 51,customer51@example.com,2021-08-10,REGULAR
CUST0052,Customer 52,customer52@example.com,2022-06-27,REGULAR
CUST0053,Customer 53,customer53@example.com,2022-07-03,PREMIUM
CUST0054,Customer 54,customer54@example.com,2021-04-17,REGULAR
CUST0055,Customer 55,customer55@example.com,2022-02-05,VIP
CUST0056,Customer 56,customer56@example.com,2021-10-25,REGULAR
CUST0057,Customer 57,customer57@example.com,2021-07-17,REGULAR
CUST0058,Customer 58,customer58@example.com,2022-09-04,PREMIUM
CUST0059,Customer 59,customer59@example.com,2022-09-17,PREMIUM
CUST0060,Customer 60,customer60@example.com,2021-01-17,VIP
CUST0061,Customer 61,customer61@example.com,2022-08-01,REGULAR
CUST0062,Customer 62,customer62@example.com,2020-02-08,PREMIUM
CUST0063,Customer 63,customer63@example.com,2021-12-14,PREMIUM
CUST0064,Customer 64,customer64@example.com,2022-08-16,REGULAR
CUST0065,Customer 65,customer65@example.com,2022-01-06,REGULAR
CUST0066,Customer 66,customer66@example.com,2022-05-24,REGULAR
CUST0067,Customer 67,customer67@example.com,2020-02-28,PREMIUM
CUST0068,Customer 68,customer68@example.com,2021-02-24,PREMIUM
CUST0069,Customer 69,customer69@example.com,2020-04-09,VIP
CUST0070,Customer 70,customer70@example.com,2020-09-13,PREMIUM
CUST0071,Customer 71,customer71@example.com,2020-07-28,REGULAR
CUST0072,Customer 72,customer72@example.com,2022-10-28,VIP
CUST0073,Customer 73,customer73@example.com,2020-12-25,PREMIUM
CUST0074,Customer 74,customer74@example.com,2022-08-23,VIP
CUST0075,Customer 75,customer75@example.com,2021-06-24,REGULAR
CUST0076,Customer 76,customer76@example.com,2020-11-16,REGULAR
CUST0077,Customer 77,customer77@example.com,2022-12-16,PREMIUM
CUST0078,Customer 78,customer78@example.com,2021-07-24,PREMIUM
CUST0079,Customer 79,customer79@example.com,2022-08-10,VIP
CUST0080,Customer 80,customer80@example.com,2020-05-16,PREMIUM
CUST0081,Customer 81,customer81@example.com,2022-05-23,REGULAR
CUST0082,Customer 82,customer82@example.com,2021-03-08,VIP
CUST0083,Customer 83,customer83@example.com,2022-05-10,VIP
CUST0084,Customer 84,customer84@example.com,2020-04-06,PREMIUM
CUST0085,Customer 85,customer85@example.com,2022-12-11,VIP
CUST0086,Customer 86,customer86@example.com,2020-03-17,PREMIUM
CUST0087,Customer 87,customer87@example.com,2022-07-18,VIP
CUST0088,Customer 88,customer88@example.com,2020-10-04,REGULAR
CUST0089,Customer 89,customer89@example.com,2022-05-27,REGULAR
CUST0090,Customer 90,customer90@example.com,2021-06-02,REGULAR
CUST0091,Customer 91,customer91@example.com,2022-08-31,PREMIUM
CUST0092,Customer 92,customer92@example.com,2021-02-26,PREMIUM
CUST0093,Customer 93,customer93@example.com,2022-11-08,VIP
CUST0094,Customer 94,customer94@example.com,2020-01-18,PREMIUM
CUST0095,Customer 95,customer95@example.com,2020-05-25,REGULAR
CUST0096,Customer 96,customer96@example.com,2020-01-16,PREMIUM
CUST0097,Customer 97,customer97@example.com,2020-09-06,REGULAR
CUST0098,Customer 98,customer98@example.com,2021-10-31,PREMIUM
CUST0099,Customer 99,customer99@example.com,2020-02-08,VIP
CUST0100,Customer 100,customer100@example.com,2021-11-05,REGULAR
CUST0101,Customer 101,customer101@example.com,2021-02-11,VIP
CUST0102,Customer 102,customer102@example.com,2022-06-07,REGULAR
CUST0103,Customer 103,customer103@example.com,2020-11-16,VIP
CUST0104,Customer 104,customer104@example.com,2022-01-03,PREMIUM
CUST0105,Customer 105,customer105@example.com,2022-06-12,VIP
CUST0106,Customer 106,customer106@example.com,2022-05-29,VIP
CUST0107,Customer 107,customer107@example.com,2020-09-13,VIP
CUST0108,Customer 108,customer108@example.com,2020-02-11,PREMIUM
CUST0109,Customer 109,customer109@example.com,2021-11-05,PREMIUM
CUST0110,Customer 110,customer110@example.com,2021-03-03,VIP
CUST0111,Customer 111,customer111@example.com,2021-08-12,VIP
CUST0112,Customer 112,customer112@example.com,2022-10-18,PREMIUM
CUST0113,Customer 113,customer113@example.com,2020-11-20,PREMIUM
CUST0114,Customer 114,customer114@example.com,2020-02-03,PREMIUM
CUST0115,Customer 115,customer115@example.com,2022-07-16,REGULAR
CUST0116,Customer 116,customer116@example.com,2021-11-25,REGULAR
CUST0117,Customer 117,customer117@example.com,2022-09-10,REGULAR
CUST0118,Customer 118,customer118@example.com,2022-02-22,VIP
CUST0119,Customer 119,customer119@example.com,2020-08-31,VIP
CUST0120,Customer 120,customer120@example.com,2020-04-02,VIP
CUST0121,Customer 121,customer121@example.com,2020-06-25,REGULAR
CUST0122,Customer 122,customer122@example.com,2022-01-12,VIP
CUST0123,Customer 123,customer123@example.com,2020-08-23,VIP
CUST0124,Customer 124,customer124@example.com,2020-01-02,VIP
CUST0125,Customer 125,customer125@example.com,2020-11-09,PREMIUM
CUST0126,Customer 126,customer126@example.com,2020-11-27,VIP
CUST0127,Customer 127,customer127@example.com,2022-02-27,VIP
CUST0128,Customer 128,customer128@example.com,2020-11-10,PREMIUM
CUST0129,Customer 129,customer129@example.com,2022-05-17,VIP
CUST0130,Customer 130,customer130@example.com,2022-09-22,REGULAR
CUST0131,Customer 131,customer131@example.com,2022-12-27,REGULAR
CUST0132,Customer 132,customer132@example.com,2021-06-11,VIP
CUST0133,Customer 133,customer133@example.com,2020-11-01,PREMIUM
CUST0134,Customer 134,customer134@example.com,2020-08-09,PREMIUM
CUST0135,Customer 135,customer135@example.com,2020-09-09,VIP
CUST0136,Customer 136,customer136@example.com,2020-09-23,PREMIUM
CUST0137,Customer 137,customer137@example.com,2022-09-15,REGULAR
CUST0138,Customer 138,customer138@example.com,2021-11-16,VIP
CUST0139,Customer 139,customer139@example.com,2020-05-15,VIP
CUST0140,Customer 140,customer140@example.com,2020-02-03,PREMIUM
CUST0141,Customer 141,customer141@example.com,2021-07-31,VIP
CUST0142,Customer 142,customer142@example.com,2020-12-06,VIP
CUST0143,Customer 143,customer143@example.com,2022-06-17,VIP
CUST0144,Customer 144,customer144@example.com,2021-02-16,PREMIUM
CUST0145,Customer 145,customer145@example.com,2022-11-09,VIP
CUST0146,Customer 146,customer146@example.com,2020-09-09,REGULAR
CUST0147,Customer 147,customer147@example.com,2021-04-10,PREMIUM
CUST0148,Customer 148,customer148@example.com,2020-12-15,REGULAR
CUST0149,Customer 149,customer149@example.com,2022-05-11,VIP
CUST0150,Customer 150,customer150@example.com,2020-01-30,VIP
CUST0151,Customer 151,customer151@example.com,2021-11-30,REGULAR
CUST0152,Customer 152,customer152@example.com,2020-06-17,REGULAR
CUST0153,Customer 153,customer153@example.com,2022-11-18,REGULAR
CUST0154,Customer 154,customer154@example.com,2022-07-14,VIP
CUST0155,Customer 155,customer155@example.com,2022-05-11,REGULAR
CUST0156,Customer 156,customer156@example.com,2020-04-12,PREMIUM
CUST0157,Customer 157,customer157@example.com,2022-09-12,VIP
CUST0158,Customer 158,customer158@example.com,2022-07-26,REGULAR
CUST0159,Customer 159,customer159@example.com,2020-11-19,VIP
CUST0160,Customer 160,customer160@example.com,2022-10-09,VIP
CUST0161,Customer 161,customer161@example.com,2021-03-26,VIP
CUST0162,Customer 162,customer162@example.com,2021-07-27,PREMIUM
CUST0163,Customer 163,customer163@example.com,2022-05-14,VIP
CUST0164,Customer 164,customer164@example.com,2020-11-28,PREMIUM
CUST0165,Customer 165,customer165@example.com,2022-10-12,REGULAR
CUST0166,Customer 166,customer166@example.com,2020-12-16,VIP
CUST0167,Customer 167,customer167@example.com,2020-02-17,PREMIUM
CUST0168,Customer 168,customer168@example.com,2020-06-16,REGULAR
CUST0169,Customer 169,customer169@example.com,2021-01-23,REGULAR
CUST0170,Customer 170,customer170@example.com,2022-03-22,PREMIUM
CUST0171,Customer 171,customer171@example.com,2020-02-25,PREMIUM
CUST0172,Customer 172,customer172@example.com,2022-12-10,PREMIUM
CUST0173,Customer 173,customer173@example.com,2020-06-07,REGULAR
CUST0174,Customer 174,customer174@example.com,2020-10-22,PREMIUM
CUST0175,Customer 175,customer175@example.com,2022-11-15,REGULAR
CUST0176,Customer 176,customer176@example.com,2022-11-11,VIP
CUST0177,Customer 177,customer177@example.com,2021-05-11,PREMIUM
CUST0178,Customer 178,customer178@example.com,2020-04-28,PREMIUM
CUST0179,Customer 179,customer179@example.com,2022-11-17,VIP
CUST0180,Customer 180,customer180@example.com,2021-05-03,PREMIUM
CUST0181,Customer 181,customer181@example.com,2021-03-25,PREMIUM
CUST0182,Customer 182,customer182@example.com,2022-10-07,VIP
CUST0183,Customer 183,customer183@example.com,2021-12-07,VIP
CUST0184,Customer 184,customer184@example.com,2022-08-03,PREMIUM
CUST0185,Customer 185,customer185@example.com,2020-11-28,PREMIUM
CUST0186,Customer 186,customer186@example.com,2022-03-28,PREMIUM
CUST0187,Customer 187,customer187@example.com,2020-02-19,VIP
